halimashauli,halmashauri
halmashaul,halmashauri
save the rain,save the rain usa
dydrotec,hydrotec
tridep,ridep
wwf/,wwf
churc,chur
total land  care,total land care
att/total land care,total land care
kyasha entrepr,kyasha enterpr
jiks,jicks
nyakilangani  co,nyakilangani co
nyakilangani,nyakilangani co
kilangani co,nyakilangani co
nyakilanganyi,nyakilangani co
masu company,maswi company
naishu construction co.ltd,naishu construction co. ltd
singida tetu,singida yetu
singida  yetu,singida yetu
shingida yetu,singida yetu
tanza,tanz
w,w/
adap,adp
asdp,adp
dadp,adp
maji muguu,maji mugumu
maj mugumu,maji mugumu
msji mugumu,maji mugumu
qukwin,quwkwin
quikwin,quwkwin
government /sda,isf/government
misri government,isf/government
ministryof water,ministry of water
sida,sda
songas,songa
sdp,wsdp
wdp,wsdp
dadis,dads
msf/tacare,isf/tacare
grobal resource  alliance,grobal resource alliance
region water,regional water
qwick win,qwickwin
mosqure,mosque
rwe/community,rwe /community
rwe/ community,rwe /community
twesa /community,rwe /community
twesa/ community,rwe /community
rwe community,rwe /community
twesa/community,rwe /community
china henan construction,china henan contractor
oldadai village community,olgilai village community
usa embassy,us embassy
r.c,rc c
cg/rc,rc c
halmashauri ya manispaa,halmashauri ya manispa tabora
halmashauri ya manispa  tabora,halmashauri ya manispa tabora
haam,ham
pet coporation ltd,pet corporation ltd
pet  corporation  ltd,pet corporation ltd
killflora /community,killflora/ community
msikit,msikiti
msikitini,msikiti
manyara construction,nandra construction
mandia construction,nandra construction
gold star,goldstar
villi,vill
kalugendo,karugendo
caritas,cartas
ardhi water wells,ardhi water well
rudep,rudep/
rude,rudep/
amp contract,amp contractor
amp contracts,amp contractor
active tank co ltd,active tank co
aimggold,aimgold
mileniam,milenia
dwe/ubalozi wa marekani,ubalozi wa marekani
ubalozi wa marekani/dwe,ubalozi wa marekani
ubalozi wa marekani /dwe,ubalozi wa marekani
kanisani,kanisa
hpa,hapa
german missionary,germany missionary
german missionsry,germany missionary
mchina,china
rps,rips
mdala  contractor,mdala contractor
dr. matobola,dr. matomola
dr.matobola,dr. matomola
dr.matomola,dr. matomola
dr. natomola,dr. matomola
milenium,mileniam
insititutiona,institution
institutional,institution
roman cathoric -same,roman cathoric same
tasaf/village community,dads/village community
concern/government,concern /government
anglikana,angrikana
agrikana,angrikana
sangea district coun,songea district coun
counc,coun
mlaki  co,mlaki co
german,germany
saxon building contractors,saxon building contractor
saxon  building contractor,saxon building contractor
mkongo building contractor,saxon building contractor
mack donald contrsctor,mack donald contractor
rc mission,rc/mission
rc missionary,rc/mission
make engineering,yumbaka engineering
adra/government,adra /government
africare,africa
africa m,africa
dassip,dasip
dasp,dasip
care/cipro,cipro/care
anglica church,anglican church
dwe/anglican church,anglican church
anglikana church,anglican church
cipro,cpro
mbulu district council,mbozi district council
howard and humfrey consultants,howard and humfrey consultant
jhl co ltd,jlh co ltd
j lh co ltd,jlh co ltd
victoria drill co,victoria drill
koca,koica
tcrs/care,tcrs /care
rural drinkung water supply,rural drinking water supply
rural drinking water suply,rural drinking water supply
schoo,school
rcchurch,church
w.d $,w.d &
dbsp,dbspe
mombo urban water,mombo urban water s
mombo urban  water,mombo urban water s
maswi drilling,maswi drill
christan outrich,christian outrich
cristan outrich,christian outrich
jeshi la wokovu [cida],jeshi la wokovu
tgt,tgts
msiki,msikit
gurumeti sagita,grumeti singita
lions,lion's
halmashauri wilaya,halmashauri ya wilaya
rombo delta,rombo dalta
greineker,greinaker
bra,brad
zao water spring x,zao water spring
efarm,efam
tcrs.tlc,tcrs/tlc
tassaf/ tcrs,tassaf /tcrs
tassaf/tcrs,tassaf /tcrs
tcrs/ tassaf,tassaf /tcrs
government /tcrs,tcrs /government
government/tcrs,tcrs /government
tasaf and comunity,mtuwasa and community
n.p.r.,p.n.r.
totaland care,totoland care
tanload,tanroad
mwaki contracto,mwaki contractor
tanz/egypt technical coopera,tanz egypt technical coopera
eagt church,tag church
h/kijiji,kijiji
india,indi
indiv,indi
mkong construction,mkongo construction
mkon construction,mkongo construction
morning construction,mkongo construction
islamic agency tanzania,africa islamic agency tanzania
italian government,italy government
umoja drilling contructo,umoja drilling construction
umoja drilling contractor,umoja drilling construction
nerthlands,netherlands
dawasa,dawas
nddp,ddp
ndrdp,nddp
winnin spirit co ltd,winnin spirit co
enyuati,enyueti
tcrs/ twesa,tcrs /twesa
tcrs twesa,tcrs /twesa
tcrs/twesa,tcrs /twesa
water user group,water users group
water use group,water users group
nampopanga,nampapanga
nampupanga,nampapanga
african muslims age,africa muslim agenc
morrovian,morovian
morovi,morovian
moravian,morovian
ilaramataki,laramatak
anglikan,anglikana
o,o &
ccp,ccps
de &,de
karumba building company ltd,karumba biulding company ltd
morrevian,morrovian
winam construction,vien construction
winam  construction,vien construction
hesawz,hesaw
hesawq,hesaw
hesaws,hesaw
heesaw,hesaw
word divisio,world division
angrican,anglican
wamba,wama
mzungu,mzung
school adm9nstrarion,school adminstrarion
emanda,bemanda
romam,roma
regwa company of egypt,regwa company of egpty
marke,mark
aqual,aqal
wamissionari wa kikatoriki,wamisionari wa kikatoriki
luwassa,liuwassa
aswar,answar
icap,cap
government /community,government and community
farm,efarm
mbunge / district council,wb / district council
batist church,baptist church
pivate person,private person
noshadi,noshad
tcrs/dwe,tcrs /dwe
rwe/tcrs,tcrs /dwe
farm africa,farm-africa
jumuhia,jumuiya
raramataki,ilaramataki
vicf,icf
babu sajini,babu sajin
dspu,dsp
china henan constuction,china henan construction
dwe /tassaf,dwe/tassaf
trc,tsrc
maswi drilling co. ltd,maswi drilling co ltd
kyela-morogoro,kyela_morogoro
juma,jumaa
tukwale enterp,tukware enterp
winamu co,winam co
pentecostal church,pentecost church
mwalimu  muhenza,mwalimu  muhenzi
barry a.murphy,barry a. murphy
hemed abdalkah,hemed abdallah
nasan workers,nassan workers
rc mi,rc mis
omari mzee,mzee omari
kamama,kanamama
kuweit,kuwit
rc church/cefa,cefa/ rc church
cefa/rc church,cefa/ rc church
lomoloki,olomoloki
lolmoloki,olomoloki
taees,taes
samweli,samwel
mwl. nyerere sec. school,mwl. nyerere sec.school
village contractor,village local contractor
napupanga,nampupanga
pancrasi,pankrasi
cow,cowi
